,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
49,CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,164.16,1.49,2.0,2.0,7.467118280592603
50,CHEMBL3,CN1CCC[C@H]1c1cccnc1,162.236,1.8483,0.0,2.0,7.656394491895828
51,CHEMBL235672,C=C[C@](C)(O)CCC=C(C)C,154.253,2.6698000000000013,1.0,1.0,7.641303900426189
52,CHEMBL484,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,273.1889999999999,-0.4397000000000001,3.0,7.0,7.378719832449585
53,CHEMBL1330596,CC(N)(Cc1ccc(O)cc1)C(=O)O,195.218,0.7367000000000001,3.0,3.0,7.605373235727791
54,CHEMBL442329,Nc1cccc2c(=O)[nH][nH]c(=O)c12,177.16299999999998,-0.20140000000000013,3.0,3.0,6.804294025252902
55,CHEMBL1437649,CC1C(=O)C(=O)C=CN1C,139.154,-0.027800000000000047,0.0,3.0,7.827689031478045
56,CHEMBL554563,Nc1ccn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)n1,227.21999999999997,-1.5338000000000005,3.0,7.0,7.588043762069598
57,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.30400000000003,2.6512200000000004,1.0,4.0,7.8843894883257
58,CHEMBL609,NCCNCCNCCN,146.238,-1.916999999999998,4.0,4.0,7.418847108033711
59,CHEMBL1232077,N[C@H](C(=O)O)c1ccc(O)cc1,167.164,0.4766,3.0,3.0,7.44648105985103
60,CHEMBL1234268,CSCC[C@@H](N)C(=O)O,149.215,0.1513999999999998,2.0,3.0,7.525929496784957
61,CHEMBL17045,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,421.5450000000001,3.508300000000002,1.0,5.0,7.674895017028592
62,CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,495.7450000000004,6.881900000000007,1.0,5.0,7.427709393848582
63,CHEMBL1658,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,517.7760000000004,5.251300000000007,1.0,6.0,7.546681659952962
64,CHEMBL1533,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,310.48100000000005,4.869700000000004,1.0,1.0,7.580374639112256
65,CHEMBL460499,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,257.265,0.8136999999999999,2.0,4.0,8.311580177997289
66,CHEMBL67654,CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,499.6510000000001,6.282300000000006,1.0,4.0,7.43486084803021
67,CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,298.298,2.745,2.0,5.0,7.017276612331455
68,CHEMBL4553748,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,404.9340000000003,4.751700000000005,0.0,4.0,7.512861624522813
69,CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,183.207,0.35060000000000013,4.0,4.0,
70,CHEMBL146980,CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC,339.413,1.9287,0.0,6.0,7.451856362565154
71,CHEMBL1437764,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,292.766,3.729300000000002,0.0,4.0,7.494714325855868
72,CHEMBL118722,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,302.367,2.3849,0.0,6.0,7.442252258358532
73,CHEMBL93077,O=C(C[S+]([O-])C(c1ccccc1)c1ccccc1)NO,289.356,2.0301,2.0,3.0,7.545765104251735
74,CHEMBL508094,C[C@H](O)[C@H](C)[C@H](N)C(=O)O,147.174,-0.5848,3.0,3.0,7.578396073130169
75,CHEMBL837,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,392.41100000000023,2.3476,2.0,7.0,7.601192269796735
76,CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,226.351,3.3045100000000014,0.0,5.0,6.99297807442132
77,CHEMBL91397,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,415.96800000000025,5.6349200000000055,0.0,3.0,7.899974269892137
78,CHEMBL13178,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)cc1,378.4720000000001,3.5215200000000024,0.0,5.0,7.619065536669298
79,CHEMBL1377788,OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O,164.157,-2.1922,4.0,5.0,7.589054141312225
80,CHEMBL457530,CN(C)C(=N)NCCC[C@H](N)C(=O)O,202.25799999999998,-0.7355299999999991,4.0,3.0,7.478992747591396
81,CHEMBL276832,NNc1nncc2ccccc12,160.17999999999998,0.9153999999999998,2.0,4.0,7.82915179635669
82,CHEMBL1651906,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,265.222,-2.8909,5.0,8.0,7.561932549546506
83,CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,375.40700000000015,4.903620000000003,4.0,3.0,
84,CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,376.4160000000001,3.342500000000001,3.0,5.0,7.718512112059918
85,CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,263.381,2.7326000000000006,2.0,3.0,8.1791420105603
86,CHEMBL159776,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,269.38899999999995,0.8438000000000003,1.0,3.0,7.760950906859809
87,CHEMBL4563787,CCN(C(=O)C1C(=O)c2c(Cl)cccc2N(C)C1=O)c1ccccc1,356.8090000000001,3.168400000000002,0.0,3.0,7.699621935129297
88,CHEMBL367788,O=C(NO)c1ccc(O)c(O)c1,169.136,0.21680000000000021,4.0,4.0,8.528708288941061
89,CHEMBL1753,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,424.99100000000016,0.38950000000000035,4.0,7.0,7.548213564475709
90,CHEMBL242948,NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,226.23600000000002,-1.1295999999999988,4.0,4.0,7.529736553034922
91,CHEMBL766,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,358.46000000000004,1.4326000000000003,4.0,5.0,7.741362717275924
92,CHEMBL198362,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,435.8890000000001,2.5199000000000007,1.0,6.0,7.55579901113584
93,CHEMBL300138,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,515.6170000000003,4.932300000000004,1.0,6.0,7.631341287607773
94,CHEMBL575448,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,461.5050000000001,3.605100000000001,3.0,8.0,7.861066059743076
95,CHEMBL376359,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,339.39900000000006,0.3944800000000006,1.0,7.0,7.938170692705301
96,CHEMBL1488165,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,244.272,-0.7488999999999997,2.0,4.0,7.614393726401688
97,CHEMBL198877,Oc1ccc([C@H]2COc3cc(O)ccc3C2)cc1,242.274,2.8165000000000004,2.0,3.0,7.596193389452577
98,CHEMBL244403,CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,368.47600000000006,6.7930000000000055,0.0,2.0,7.872571222148401
99,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.247,2.9738000000000016,3.0,3.0,
100,CHEMBL314639,N#Cc1cc2c(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)cccc2[nH]1,466.58500000000015,4.186480000000003,2.0,5.0,7.622511616623867
101,CHEMBL491571,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,420.5130000000002,-1.6030999999999969,5.0,7.0,
102,CHEMBL355200,C#Cc1cnc(O)nc1O,136.10999999999999,-0.13090000000000018,2.0,4.0,7.55455148573395
103,CHEMBL1697754,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,288.39,3.0524000000000013,0.0,6.0,7.627087997029894
104,CHEMBL299613,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,302.41400000000004,3.6178000000000026,2.0,3.0,7.683610248926804
105,CHEMBL3039517,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,436.31000000000023,2.86714,3.0,6.0,
106,CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,391.5150000000001,3.9337000000000035,1.0,3.0,7.997833938243493
107,CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,366.4280000000001,4.989100000000003,2.0,6.0,8.872895201635192
108,CHEMBL4303387,CC(=O)N1CCC(NC(=O)c2ccc(F)cc2)CC1,264.3,1.5663999999999998,1.0,2.0,7.583525920899779
109,CHEMBL2107834,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,422.42400000000015,2.4426999999999994,2.0,9.0,7.567351339986893
110,CHEMBL4570132,CCOc1ccc(/C=C2/NCCc3cc(OCC)c(OCC)cc32)cc1OCC,397.51500000000016,4.925200000000005,1.0,5.0,8.400116927926312
111,CHEMBL1350,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,318.61100000000005,2.0711000000000013,4.0,3.0,7.632271453913024
112,CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,334.169,2.889400000000001,2.0,3.0,7.452471423540218
113,CHEMBL2103851,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,447.5200000000002,3.301400000000002,1.0,7.0,7.528855034839367
114,CHEMBL245019,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,259.218,-2.7009,5.0,8.0,7.7657358756212105
